location,year,month,day,properties_sold,avg_price,avg_sqr_ft,walk_score,interest_score,pop_increase,city_investment,private_investment
Bedford Park-Nortown,2014,January,,8,1.995,792,1.425,1.826086956521739,82.593,7685.139,7664.79
Lawrence Park South,2014,January,,5,1.995,564,0.3546666666666667,0.0,0.0,2027.718,20401.668
Yonge-Eglinton,2014,January,,4,1.596,703,1.2468750000000002,0.9411764705882353,21.546,7296.912,22733.424000000003
Mount Pleasant West,2014,January,,6,1.995,529,0.044333333333333336,0.15384615384615385,93.366,3621.324,20586.804
Lawrence Park North,2014,January,,7,3.99,728,1.33,2.4,115.71000000000001,4336.731000000001,24056.907000000003
Mount Pleasant East,2014,January,,6,3.192,658,1.33,0.0,61.845,1111.614,12742.065
Black Creek,2014,January,,8,1.995,780,0.7536666666666667,1.5,64.638,6503.700000000001,24575.208000000002
Glenfield-Jane Heights,2014,January,,1,3.99,796,0.8423333333333334,0.21052631578947367,83.78999999999999,2116.2960000000003,4108.503000000001
York University Heights,2014,January,,5,3.591,702,0.648375,2.3333333333333335,18.354,3824.8140000000003,7209.93
Bathurst Manor,2014,January,,6,1.596,771,0.266,0.12903225806451613,54.264,4805.157,8795.955
Westminster-Branson,2014,January,,6,3.192,633,0.7536666666666667,1.9230769230769231,167.57999999999998,8236.557,22579.809
Clanton Park,2014,January,,8,3.99,714,0.399,0.6896551724137931,69.42600000000002,5257.224,814.359
Lansing-Westgate,2014,January,,7,3.99,512,0.5700000000000001,0.0,174.762,6703.9980000000005,10261.881000000001
Willowdale West,2014,January,,5,3.99,544,1.147125,0.9230769230769231,18.753,6845.643,12467.553
Newtonbrook West,2014,January,,1,3.99,716,0.22166666666666668,0.9411764705882353,193.51500000000001,5711.685,15208.284000000001
Newtonbrook East,2014,January,,3,3.591,747,1.2468750000000002,1.40625,146.832,114.513,4280.073
Willowdale East,2014,January,,8,3.99,615,0.969,0.42105263157894735,160.398,1199.394,2621.4300000000003
Bayview Woods-Steeles,2014,January,,1,3.99,632,0.228,0.641025641025641,22.344,7231.077,23977.905000000002
Bayview Village,2014,January,,2,2.394,692,0.22166666666666668,0.09523809523809523,0.0,7352.772000000001,1969.065
St.Andrew-Windfields,2014,January,,6,3.591,520,1.1400000000000001,2.916666666666667,19.152,1211.364,6786.591
Don Valley Village,2014,January,,2,3.99,601,1.33,0.3225806451612903,64.638,6873.174,2719.5840000000003
Henry Farm,2014,January,,2,3.99,507,1.4463750000000002,1.1428571428571428,0.0,5077.275000000001,22489.236
Pleasant View,2014,January,,2,3.192,749,1.0196666666666667,1.3499999999999999,179.55,4763.661,21200.865
Parkwoods-Donalda,2014,January,,5,3.192,548,0.8423333333333334,0.2,155.61,2390.409,3267.8100000000004
Tam O'Shanter-Sullivan,2014,January,,2,1.995,599,0.31033333333333335,2.0,40.698,5795.475,15484.392000000002
Bridle Path-Sunnybrook-York Mills,2014,January,,6,1.995,791,0.9753333333333335,0.5128205128205128,162.792,3207.561,2498.9370000000004
Leaside-Bennington,2014,January,,5,2.394,536,0.349125,0.43478260869565216,71.022,7292.124000000001,20315.883
Banbury-Don Mills,2014,January,,2,2.793,623,1.0473750000000002,0.6923076923076923,82.593,6572.727000000001,21334.530000000002
Thorncliffe Park,2014,January,,2,1.995,676,0.748125,1.7391304347826086,90.97200000000001,98.55300000000001,11263.77
Flemingdon Park,2014,January,,2,2.793,508,0.399,0.0,0.0,7527.135,18662.826
Victoria Village,2014,January,,1,2.394,734,1.0830000000000002,2.5454545454545454,36.309000000000005,2780.6310000000003,19656.735
O'Connor-Parkview,2014,January,,6,3.192,699,0.49875,1.8421052631578947,53.864999999999995,2115.498,18345.621
The Beaches,2014,January,,1,1.995,625,1.0473750000000002,0.6363636363636364,116.50800000000001,408.975,20250.048000000003
East End-Danforth,2014,January,,8,2.793,546,0.044333333333333336,10.0,52.668000000000006,1620.3390000000002,97.35600000000001
Woodbine-Lumsden,2014,January,,6,3.192,682,1.026,7.6923076923076925,31.521,5643.057000000001,18809.259000000002
Crescent Town,2014,January,,6,1.596,621,0.89775,0.3571428571428571,61.446000000000005,6285.048000000001,10027.269
Birchcliffe-Cliffside,2014,January,,2,3.99,572,1.4463750000000002,0.4444444444444444,71.022,6972.126,294.861
Oakridge,2014,January,,6,2.394,653,0.49875,1.9090909090909092,83.78999999999999,7036.365000000001,9408.42
Clairlea-Birchmount,2014,January,,5,3.99,579,1.3965,0.6,177.156,1379.742,6827.688
Wexford/Maryvale,2014,January,,3,3.591,544,0.648375,2.9411764705882355,11.571000000000002,8011.122,10963.722
Dorset Park,2014,January,,8,3.192,773,0.09975,1.2307692307692308,81.79500000000002,6144.999000000001,13704.054
Ionview,2014,January,,8,1.995,745,1.254,0.15384615384615385,0.0,5958.666,21301.812
Kennedy Park,2014,January,,7,3.99,667,0.513,0.5555555555555556,65.83500000000001,6917.064,23110.878
Cliffcrest,2014,January,,8,1.596,538,0.89775,0.6153846153846154,0.0,4450.0470000000005,23068.185
Eglinton East,2014,January,,4,2.793,535,0.912,2.8571428571428568,0.0,5475.876,1643.082
Bendale,2014,January,,4,3.99,741,1.346625,0.75,0.0,1362.585,15345.54
Scarborough Village,2014,January,,8,3.99,746,1.2856666666666667,0.7619047619047619,172.368,1868.9160000000002,14846.391000000001
Woburn,2014,January,,5,3.192,797,0.627,2.769230769230769,105.33600000000001,5081.265,16899.246
Guildwood,2014,January,,1,3.99,537,0.1995,0.5,0.0,4073.7900000000004,10755.045
Morningside,2014,January,,1,2.394,691,0.684,1.263157894736842,35.910000000000004,4328.352,20915.58
West Hill,2014,January,,8,3.99,717,0.748125,0.5263157894736842,44.289,4685.457,21696.423000000003
Rouge,2014,January,,8,3.99,658,0.548625,1.6,59.85000000000001,4560.171,17186.925
Centennial Scarborough,2014,January,,8,1.995,743,1.4820000000000002,1.5384615384615383,107.72999999999999,360.696,14599.809000000001
Highland Creek,2014,January,,6,2.793,754,0.049875,0.21621621621621623,56.658,3364.7670000000003,12043.017
Malvern,2014,January,,2,3.591,743,1.4820000000000002,1.0714285714285714,17.157,8100.4980000000005,9070.866
Hillcrest Village,2014,January,,1,2.394,645,1.6530000000000002,0.45714285714285713,0.0,2856.0420000000004,24596.355
Steeles,2014,January,,3,3.192,668,1.346625,0.5882352941176471,59.85,614.46,16848.573
L'Amoreaux,2014,January,,8,3.192,783,0.456,0.8999999999999999,82.593,5843.3550000000005,1712.1090000000002
Agincourt South-Malvern West,2014,January,,8,1.596,718,0.5985,2.5,0.0,1368.5700000000002,9529.317000000001
Milliken,2014,January,,6,2.793,647,0.09975,1.4736842105263157,78.20400000000001,6029.289000000001,5467.497
Agincourt North,2014,January,,8,2.793,613,1.4820000000000002,0.4444444444444444,0.0,4629.198,10596.642
Trinity-Bellwoods,2014,February,,6,2.0549999999999997,603,1.1873333333333334,0.6363636363636364,30.413999999999998,6064.715999999999,24166.389
West Humber-Clairville,2014,February,,4,1.644,752,0.359625,0.84375,12.33,4317.965999999999,2803.8419999999996
Mount Olive-Silverstone-Jamestown,2014,February,,5,3.699,712,1.3243333333333334,3.111111111111111,86.31,2696.982,2549.844
Humber Summit,2014,February,,1,4.109999999999999,676,1.3699999999999999,4.0,197.27999999999997,4793.081999999999,14388.287999999999
Thistletown-Beaumond Heights,2014,February,,2,3.699,728,1.4898749999999998,0.47368421052631576,67.404,5221.755,15737.600999999999
Humbermede,2014,February,,3,2.877,549,1.2329999999999999,2.769230769230769,70.692,2684.241,23856.084
Rexdale-Kipling,2014,February,,6,2.4659999999999997,699,0.13699999999999998,1.3846153846153846,0.0,1299.1709999999998,16278.887999999999
Elms-Old Rexdale,2014,February,,5,1.644,616,0.822,2.307692307692308,66.582,4440.855,7769.133
Pelmo Park-Humberlea,2014,February,,7,2.0549999999999997,500,1.1155714285714287,0.0,0.0,1838.4029999999998,4440.4439999999995
Downsview-Roding-CFB,2014,February,,1,1.644,612,1.2917142857142856,0.34285714285714286,78.91199999999999,1916.904,5405.472
Kingsview Village-The Westway,2014,February,,4,4.109999999999999,797,0.058714285714285705,0.10714285714285714,172.62,2382.156,24129.809999999998
Weston,2014,February,,1,2.877,714,0.3653333333333333,2.0,145.494,2982.627,18564.459
Rustic,2014,February,,7,3.288,590,0.3653333333333333,0.15789473684210525,0.0,7058.102999999999,7079.474999999999
Humber Heights-Westmount,2014,February,,7,3.288,505,1.2329999999999999,0.5454545454545454,114.669,852.414,13715.892
Brookhaven-Amesbury,2014,February,,3,2.0549999999999997,567,1.7027142857142858,1.9230769230769231,64.116,899.679,5997.312
Mount Dennis,2014,February,,1,2.0549999999999997,765,1.4678571428571427,1.6,17.673,1120.386,21227.327999999998
Willowridge-Martingrove-Richview,2014,February,,7,2.877,718,0.92475,3.4482758620689657,30.413999999999998,6051.563999999999,8406.182999999999
Princess-Rosethorn,2014,February,,3,1.644,576,1.4385,1.4000000000000001,31.235999999999997,6998.919,4920.491999999999
Eringate-Centennial-West Deane,2014,February,,4,2.0549999999999997,670,1.0046666666666666,0.3333333333333333,75.624,5643.852,5139.965999999999
Edenbridge-Humber Valley,2014,February,,2,3.699,731,0.04566666666666666,0.6363636363636364,87.54299999999999,6873.152999999999,8977.062
Rockcliffe-Smythe,2014,February,,2,2.877,719,1.2917142857142856,1.282051282051282,164.39999999999998,5496.714,12738.945
Markland Woods,2014,February,,4,1.644,608,0.17614285714285713,2.2857142857142856,73.98,3662.421,24167.211
Etobicoke West Mall,2014,February,,2,3.288,577,0.411,0.25,55.895999999999994,4419.893999999999,24888.516
Islington-City Centre West,2014,February,,7,3.699,547,0.998142857142857,0.8333333333333334,55.895999999999994,4948.44,6901.512
Alderwood,2014,February,,7,2.877,599,1.2329999999999999,0.0,117.13499999999999,925.983,5668.923
Long Branch,2014,February,,5,4.109999999999999,507,1.4678571428571427,0.42857142857142855,0.0,1166.418,24160.635
New Toronto,2014,February,,7,4.109999999999999,628,1.2329999999999999,2.727272727272727,84.255,4382.4929999999995,12720.449999999999
Mimico,2014,February,,9,2.0549999999999997,515,0.9761249999999999,0.0,107.27099999999999,1326.297,25290.885
Stonegate-Queensway,2014,February,,2,1.644,526,0.45666666666666667,1.2307692307692308,64.116,7998.0599999999995,7889.967
Kingsway South,2014,February,,9,4.109999999999999,782,0.35228571428571426,2.380952380952381,63.294,6130.887,3123.189
Lambton Baby Point,2014,February,,7,3.288,652,0.29357142857142854,0.25,138.096,3582.276,21577.5
High Park-Swansea,2014,February,,1,3.288,649,0.7632857142857142,1.1052631578947367,0.0,734.8679999999999,15481.547999999999
Runnymede-Bloor West Village,2014,February,,1,1.644,706,0.6393333333333333,0.972972972972973,21.372,5672.621999999999,3382.5299999999997
High Park North,2014,February,,5,4.109999999999999,747,1.7614285714285713,3.681818181818182,56.717999999999996,5444.928,16509.87
Junction Area,2014,February,,1,4.109999999999999,504,1.4678571428571427,2.0588235294117645,17.262,5666.8679999999995,2052.123
Roncesvalles,2014,February,,5,1.644,711,1.644,1.3157894736842104,54.251999999999995,5613.848999999999,9601.371
South Parkdale,2014,February,,3,2.877,692,1.4678571428571427,1.8461538461538463,106.03799999999998,4290.84,970.371
Dufferin Grove,2014,February,,5,2.4659999999999997,536,0.18266666666666664,0.23529411764705882,203.445,5266.143,238.791
Little Portugal,2014,February,,7,4.109999999999999,756,1.2786666666666666,0.25,170.154,5914.701,15968.582999999999
Dovercourt-Wallace Emerson-Juncti,2014,February,,5,2.877,517,1.1742857142857142,0.0,62.882999999999996,3320.4689999999996,18976.692
Niagara,2014,February,,2,3.699,550,0.3653333333333333,0.44999999999999996,71.514,5099.688,13467.648
Weston-Pellam Park,2014,February,,4,4.109999999999999,787,1.3699999999999999,2.8125,24.66,2257.212,7859.964
Palmerston-Little Italy,2014,February,,6,2.4659999999999997,702,1.181625,0.6774193548387096,18.906,2516.964,19777.32
University,2014,February,,3,1.644,721,1.5265714285714285,3.2666666666666666,212.07599999999996,4712.937,5255.456999999999
Kensington-Chinatown,2014,February,,6,3.288,735,1.1155714285714287,0.175,65.75999999999999,5523.018,9990.177
Waterfront Communities-The Island,2014,February,,9,3.699,531,0.3653333333333333,0.9230769230769231,46.032,3323.7569999999996,197.691
Annex,2014,February,,8,2.0549999999999997,769,0.46971428571428564,1.68,81.37799999999999,7694.741999999999,18610.079999999998
Wychwood,2014,February,,7,4.109999999999999,645,1.54125,1.3157894736842104,0.0,5394.375,23360.417999999998
Corsa Italia-Davenport,2014,February,,3,2.4659999999999997,616,0.09133333333333332,0.47368421052631576,70.692,1801.002,19747.728
Oakwood-Vaughan,2014,February,,5,2.4659999999999997,549,0.462375,0.2564102564102564,154.125,6317.07,1690.8539999999998
Humewood-Cedarvale,2014,February,,8,2.4659999999999997,708,1.2917142857142856,0.3333333333333333,0.0,3429.7949999999996,11997.911999999998
Casa Loma,2014,February,,8,2.877,777,0.411,1.3636363636363635,42.744,5393.964,6898.223999999999
Forest Hill South,2014,February,,2,4.109999999999999,593,0.13699999999999998,0.6666666666666666,98.63999999999999,4361.532,895.9799999999999
Yonge-St.Clair,2014,February,,5,2.4659999999999997,524,0.04566666666666666,2.0454545454545454,47.675999999999995,6332.277,20636.720999999998
Bay Street Corridor,2014,February,,5,2.0549999999999997,725,1.3699999999999999,0.0,70.281,4507.848,18391.839
Rosedale-Moore Park,2014,February,,8,2.877,732,0.770625,1.5151515151515151,53.01899999999999,8471.943,4451.541
Church-Yonge Corridor,2014,February,,4,2.877,728,0.46971428571428564,0.9473684210526315,231.804,1597.557,3646.803
Caledonia-Fairbanks,2014,February,,8,3.288,627,1.1416666666666666,0.45454545454545453,34.113,1087.5059999999999,23849.096999999998
North St.James Town,2014,February,,7,1.644,729,0.6849999999999999,1.0909090909090908,69.048,3349.6499999999996,22106.868
Cabbagetown-South St.James Town,2014,February,,3,2.0549999999999997,776,1.5852857142857142,0.6818181818181818,36.168,2990.8469999999998,3366.0899999999997
Moss Park,2014,February,,9,3.288,588,0.5936666666666667,0.6896551724137931,136.452,4130.960999999999,3994.098
Regent Park,2014,February,,5,1.644,772,0.7763333333333333,0.717948717948718,22.194,7334.705999999999,16113.255
Playter Estates-Danforth,2014,February,,5,2.0549999999999997,688,1.7027142857142858,0.1935483870967742,162.345,182.07299999999998,16164.63
South Riverdale,2014,February,,3,2.0549999999999997,553,0.6393333333333333,2.8571428571428568,14.385,7023.168,18351.971999999998
North Riverdale,2014,February,,4,1.644,746,1.4678571428571427,0.18181818181818182,73.98,7548.014999999999,6724.370999999999
Blake-Jones,2014,February,,6,2.4659999999999997,735,1.13025,0.5263157894736842,22.194,6053.619,4530.864
Danforth Village - Toronto,2014,February,,5,2.0549999999999997,769,0.667875,1.4482758620689655,78.91199999999999,5034.75,24901.667999999998
Broadview North,2014,February,,4,2.877,646,0.35228571428571426,0.25925925925925924,34.524,7138.248,12662.499
Old East York,2014,February,,5,3.288,705,0.22833333333333333,0.26666666666666666,112.20299999999999,240.84599999999998,10762.035
Danforth Village - East York,2014,February,,7,3.288,536,0.770625,0.4,244.13400000000001,5931.552,17821.371
Greenwood-Coxwell,2014,February,,5,2.877,631,1.409142857142857,0.2,197.27999999999997,5539.869,7744.883999999999
Woodbine Corridor,2014,February,,3,3.699,511,0.5479999999999999,0.0,21.372,6871.509,12963.761999999999
Maple Leaf,2014,February,,3,2.877,519,0.8733749999999999,1.0,23.837999999999997,8132.456999999999,23265.477
Beechborough-Greenbrook,2014,February,,3,3.699,706,0.30824999999999997,2.142857142857143,0.0,7539.794999999999,13077.608999999999
Keelesdale-Eglinton West,2014,February,,5,4.109999999999999,681,0.10275,0.375,87.13199999999999,1394.1119999999999,9933.458999999999
Briar Hill-Belgravia,2014,February,,3,1.644,540,0.9761249999999999,0.47368421052631576,0.0,1357.533,51.375
Yorkdale-Glen Park,2014,February,,4,3.699,582,0.46971428571428564,0.46153846153846156,41.922,6892.058999999999,1437.2669999999998
Forest Hill North,2014,February,,8,2.877,712,0.411,0.16129032258064516,0.0,1834.704,1318.899
Englemount-Lawrence,2014,February,,9,2.877,791,1.2329999999999999,2.0,41.099999999999994,502.24199999999996,19390.98
Bedford Park-Nortown,2014,February,,8,4.109999999999999,552,0.411,0.18421052631578946,0.0,8503.59,819.534
Lawrence Park South,2014,February,,9,4.109999999999999,603,1.1742857142857142,1.657894736842105,59.184,8004.6359999999995,15676.773
Yonge-Eglinton,2014,February,,5,2.4659999999999997,623,0.5479999999999999,0.8235294117647058,64.116,481.69199999999995,5377.523999999999
Mount Pleasant West,2014,February,,7,2.4659999999999997,723,0.29357142857142854,0.21052631578947367,121.24499999999999,6705.464999999999,12645.648
Lawrence Park North,2014,February,,5,3.699,719,0.45666666666666667,0.45714285714285713,86.31,2170.902,16573.986
Mount Pleasant East,2014,February,,8,3.699,659,0.17614285714285713,1.5517241379310347,76.446,3363.624,19517.979
Black Creek,2014,February,,9,3.288,795,1.387125,1.3333333333333333,23.837999999999997,4783.218,11684.73
Glenfield-Jane Heights,2014,February,,7,2.877,648,1.5852857142857142,1.2121212121212122,99.87299999999999,6518.049,19853.355
York University Heights,2014,February,,7,2.877,746,1.181625,0.0,176.73,5137.5,1364.52
Bathurst Manor,2014,February,,5,3.699,673,0.565125,3.31578947368421,0.0,7468.692,6564.902999999999
Westminster-Branson,2014,February,,3,3.288,543,0.5479999999999999,1.542857142857143,0.0,6533.6669999999995,16636.458
Clanton Park,2014,February,,8,4.109999999999999,529,0.31966666666666665,0.14285714285714285,30.825,588.141,21517.905
Lansing-Westgate,2014,February,,8,3.288,613,0.411,0.0,0.0,7180.169999999999,8642.097
Willowdale West,2014,February,,4,2.4659999999999997,634,1.2329999999999999,1.1428571428571428,70.692,1190.667,15133.841999999999
Newtonbrook West,2014,February,,6,1.644,794,0.8676666666666666,0.6666666666666666,57.951,7818.4529999999995,7733.786999999999
Newtonbrook East,2014,February,,1,1.644,677,1.33575,0.21428571428571427,0.0,8334.258,882.4169999999999
Willowdale East,2014,February,,5,4.109999999999999,673,0.18266666666666664,1.0714285714285714,61.64999999999999,2597.109,22473.891
Bayview Woods-Steeles,2014,February,,6,2.0549999999999997,730,1.078875,1.7777777777777777,78.91199999999999,2494.359,1742.2289999999998
Bayview Village,2014,February,,3,2.877,743,1.4678571428571427,0.0,115.902,3490.6229999999996,22449.642
St.Andrew-Windfields,2014,February,,3,2.877,545,0.23485714285714282,0.32,172.62,1587.282,11933.385
Don Valley Village,2014,February,,3,2.877,606,0.959,1.6363636363636362,60.00599999999999,2796.855,7200.719999999999
Henry Farm,2014,February,,4,3.288,777,1.3243333333333334,0.5454545454545454,50.141999999999996,3477.06,14163.471
Pleasant View,2014,February,,5,1.644,621,0.5871428571428571,1.3636363636363635,33.702,2373.525,3251.0099999999998
Parkwoods-Donalda,2014,February,,3,3.699,570,0.10275,0.2903225806451613,115.08,3729.825,5220.522
Tam O'Shanter-Sullivan,2014,February,,6,2.0549999999999997,694,0.6393333333333333,3.705882352941176,156.17999999999998,2776.305,22279.898999999998
