location,year,month,day,properties_sold,avg_price,avg_sqr_ft,walk_score,interest_score,pop_increase,city_investment,private_investment
Junction Area,2014,January,,6,2.793,783,1.311,0.7741935483870968,89.775,5512.185,9754.752
Roncesvalles,2014,January,,3,2.793,518,0.044333333333333336,1.0714285714285714,71.022,3674.7900000000004,1771.959
South Parkdale,2014,January,,2,3.192,527,0.798,0.02631578947368421,61.845,1786.323,23907.681
Dufferin Grove,2014,January,,8,1.596,607,0.29925,0.5384615384615385,108.92700000000002,379.05,1984.227
Little Portugal,2014,January,,6,2.793,527,0.17733333333333334,1.0810810810810811,35.910000000000004,679.0980000000001,2796.192
Dovercourt-Wallace Emerson-Juncti,2014,January,,5,2.793,504,0.548625,1.9047619047619047,71.82000000000001,7287.336,8292.018
Niagara,2014,January,,7,2.793,717,1.368,0.42857142857142855,50.274,2310.21,23999.451
Weston-Pellam Park,2014,January,,3,3.591,745,0.149625,0.22580645161290322,116.10900000000001,7094.22,7555.0650000000005
Palmerston-Little Italy,2014,January,,6,3.192,630,0.9753333333333335,0.26666666666666666,65.436,6545.994000000001,1809.864
University,2014,January,,4,1.596,662,0.49875,0.36363636363636365,17.556,3236.688,216.258
Kensington-Chinatown,2014,January,,2,1.596,516,0.798,1.0434782608695652,83.78999999999999,7809.228,15627.234
Waterfront Communities-The Island,2014,January,,4,1.596,577,0.049875,0.875,21.546,6194.475,6020.112
Annex,2014,January,,6,1.995,791,1.0473750000000002,0.6000000000000001,10.374,721.791,22997.163
Wychwood,2014,January,,2,2.394,623,0.798,1.2307692307692308,158.00400000000002,7477.659000000001,7810.026000000001
Corsa Italia-Davenport,2014,January,,1,2.394,564,0.947625,0.4,0.0,4720.569,5144.706
Oakwood-Vaughan,2014,January,,2,1.995,701,0.1995,0.6486486486486487,47.88,8065.386,17638.992000000002
Humewood-Cedarvale,2014,January,,1,3.192,549,0.9753333333333335,1.125,0.0,6276.27,9348.57
Casa Loma,2014,January,,5,1.596,707,1.596,1.6153846153846154,27.531,747.327,10918.236
Forest Hill South,2014,January,,5,2.394,537,0.798,0.75,64.638,5922.756,2371.656
Yonge-St.Clair,2014,January,,5,3.99,714,1.197,0.29411764705882354,140.448,1240.89,19350.303
Bay Street Corridor,2014,January,,2,2.394,651,0.532,1.5,0.0,3284.967,3294.1440000000002
Rosedale-Moore Park,2014,January,,4,3.99,680,0.49875,1.3513513513513513,43.092,2461.032,11688.306
Church-Yonge Corridor,2014,January,,2,3.99,561,0.627,0.6923076923076923,0.0,4303.6140000000005,5386.101000000001
Caledonia-Fairbanks,2014,January,,5,3.192,775,0.22166666666666668,0.0,111.72,5328.246,20492.241
North St.James Town,2014,January,,6,1.596,595,0.171,6.0,75.012,1939.938,22833.573
Cabbagetown-South St.James Town,2014,January,,1,3.99,622,0.912,2.25,0.0,206.28300000000002,24351.369000000002
Moss Park,2014,January,,2,3.192,585,0.513,2.5,67.03200000000001,7858.704000000001,19456.038
Regent Park,2014,January,,6,3.591,552,1.33,2.4615384615384617,57.855000000000004,1239.693,7266.588000000001
Playter Estates-Danforth,2014,January,,2,1.995,585,0.29925,0.14814814814814814,23.94,2151.408,7562.247
South Riverdale,2014,January,,8,3.591,508,1.4463750000000002,1.8666666666666667,50.274,3290.154,4086.9570000000003
North Riverdale,2014,January,,3,3.99,792,1.147125,0.41666666666666663,46.284000000000006,624.4350000000001,5166.252
Blake-Jones,2014,January,,6,1.995,710,1.3965,1.25,0.0,2471.8050000000003,14829.234
Danforth Village - Toronto,2014,January,,8,3.192,664,0.855,2.7777777777777777,215.46000000000004,7334.418000000001,19400.577
Broadview North,2014,January,,8,3.99,606,0.399,1.8285714285714285,0.0,1981.035,20230.896
Old East York,2014,January,,1,3.591,539,0.342,4.0,129.276,2870.406,9545.277
Danforth Village - East York,2014,January,,7,2.394,698,0.049875,0.5714285714285714,0.0,3614.1420000000003,2924.271
Greenwood-Coxwell,2014,January,,6,3.192,667,1.33,0.48484848484848486,69.42600000000002,4885.356000000001,19959.576
Woodbine Corridor,2014,January,,5,3.591,702,1.197,0.0,23.142000000000003,4072.5930000000003,14559.51
Maple Leaf,2014,January,,8,2.793,574,0.133,0.4444444444444444,51.870000000000005,3778.53,19445.265
Beechborough-Greenbrook,2014,January,,3,3.99,765,1.1083333333333334,3.0,89.775,7387.884,24072.468
Keelesdale-Eglinton West,2014,January,,1,3.591,666,0.044333333333333336,1.894736842105263,169.575,4203.8640000000005,14543.949
Briar Hill-Belgravia,2014,January,,6,3.99,639,0.5763333333333334,3.764705882352941,34.71300000000001,4827.501,11085.816
Yorkdale-Glen Park,2014,January,,4,3.192,599,0.648375,5.833333333333334,41.89500000000001,2285.0730000000003,9341.388
Forest Hill North,2014,January,,1,3.99,676,0.5985,5.538461538461538,89.775,5580.414000000001,22236.27
Englemount-Lawrence,2014,January,,8,3.591,622,0.8866666666666667,0.641025641025641,27.132,5926.746,21011.739
Bedford Park-Nortown,2014,January,,3,3.99,690,1.49625,2.2857142857142856,92.56800000000001,4550.994000000001,4685.457
Lawrence Park South,2014,January,,8,2.793,752,1.197,4.2,64.638,8102.892000000001,18423.027000000002
Yonge-Eglinton,2014,January,,4,2.394,656,0.149625,0.96,39.900000000000006,1808.6670000000001,7875.462
Mount Pleasant West,2014,January,,8,2.394,523,0.31033333333333335,1.5483870967741935,0.0,1701.336,9017.4
Lawrence Park North,2014,January,,3,3.591,552,0.28500000000000003,1.4117647058823528,35.910000000000004,6665.295,8947.575
Mount Pleasant East,2014,January,,6,2.793,526,1.4820000000000002,0.0,83.78999999999999,4426.905000000001,17993.304
Black Creek,2014,January,,6,2.793,565,1.09725,2.631578947368421,103.74000000000001,159.20100000000002,22384.299000000003
Glenfield-Jane Heights,2014,January,,8,1.596,559,0.5700000000000001,0.3157894736842105,98.15400000000001,3219.9300000000003,16774.359
York University Heights,2014,January,,3,2.793,607,1.425,2.0,0.0,2470.608,20299.923000000003
Bathurst Manor,2014,January,,5,3.591,719,0.133,0.25,153.615,367.87800000000004,286.482
Westminster-Branson,2014,January,,3,3.591,723,0.349125,0.25,167.58000000000004,2811.3540000000003,20513.787
Clanton Park,2014,January,,5,3.192,570,0.09975,0.46153846153846156,61.845,3248.6580000000004,18589.41
Lansing-Westgate,2014,January,,7,3.192,732,1.2856666666666667,1.2307692307692308,82.992,4751.691,6262.704000000001
Willowdale West,2014,January,,2,1.995,643,1.064,1.6363636363636365,17.955000000000002,6850.4310000000005,13472.634
Newtonbrook West,2014,January,,4,3.192,716,0.684,1.0,70.224,6599.859,17615.850000000002
Newtonbrook East,2014,January,,5,1.995,624,0.22166666666666668,0.0,57.456,4840.269,9896.796
Willowdale East,2014,January,,8,1.596,674,0.912,1.3043478260869565,36.708,5347.7970000000005,11266.164
Bayview Woods-Steeles,2014,January,,6,3.192,693,1.596,2.5714285714285716,111.321,6458.214,24356.556
Bayview Village,2014,January,,3,2.394,614,1.311,0.7368421052631579,137.655,4892.937,7059.906
St.Andrew-Windfields,2014,January,,7,3.99,518,1.2413333333333334,0.65625,34.713,6064.002,15298.857
Don Valley Village,2014,January,,8,1.596,627,1.254,4.090909090909091,54.264,4746.1050000000005,5789.889
Henry Farm,2014,January,,6,1.995,687,0.798,1.0714285714285714,0.0,4942.812,11425.365
Pleasant View,2014,January,,4,1.995,689,0.17733333333333334,0.25,38.304,3066.315,11381.874
Parkwoods-Donalda,2014,January,,2,1.995,751,1.425,2.7272727272727275,39.102000000000004,5487.048000000001,21038.472
Tam O'Shanter-Sullivan,2014,January,,3,3.192,536,0.28500000000000003,2.5,23.142000000000003,4983.909000000001,13375.278
Bridle Path-Sunnybrook-York Mills,2014,January,,1,1.596,720,0.798,2.5,22.344,5639.466,14496.867
Leaside-Bennington,2014,January,,1,1.596,792,0.48766666666666675,2.1052631578947367,17.556,3096.639,2533.251
Banbury-Don Mills,2014,January,,5,3.591,676,0.7410000000000001,0.7692307692307693,0.0,1035.405,14331.681
Thorncliffe Park,2014,January,,6,1.596,665,0.49875,2.2857142857142856,0.0,1592.808,8387.778
Flemingdon Park,2014,January,,3,3.192,505,0.249375,2.142857142857143,138.852,3099.831,20206.158
Victoria Village,2014,January,,7,2.394,607,1.1400000000000001,2.0689655172413794,0.0,7124.544000000001,17349.318
O'Connor-Parkview,2014,January,,3,3.192,577,0.44333333333333336,2.1538461538461537,31.122,1796.298,13467.447
The Beaches,2014,January,,6,1.596,737,0.342,1.0909090909090908,40.698,7314.468000000001,20312.292
East End-Danforth,2014,January,,4,1.995,703,0.22166666666666668,0.38461538461538464,37.506,5900.412,23353.869000000002
Woodbine-Lumsden,2014,January,,4,3.591,591,0.9975,0.38461538461538464,102.94200000000001,430.92,11335.191
Crescent Town,2014,January,,4,3.591,539,0.648375,0.967741935483871,73.416,4215.435,14867.139000000001
Birchcliffe-Cliffside,2014,January,,1,3.591,652,1.6530000000000002,0.4,0.0,5411.238,16065.336000000001
Oakridge,2014,January,,8,1.596,543,0.969,5.4,86.184,340.74600000000004,1015.056
Clairlea-Birchmount,2014,January,,1,2.793,610,0.249375,0.631578947368421,34.314,2879.184,11748.555
Wexford/Maryvale,2014,January,,7,2.793,668,1.2468750000000002,1.6,59.85000000000001,3321.675,1627.5210000000002
Dorset Park,2014,January,,7,2.394,577,1.4820000000000002,1.6470588235294117,111.321,411.76800000000003,19035.492000000002
Ionview,2014,January,,8,3.99,643,0.29925,3.225806451612903,0.0,2626.2180000000003,18816.84
Kennedy Park,2014,January,,7,3.591,676,0.89775,2.6666666666666665,126.084,8060.598000000001,3197.5860000000002
Cliffcrest,2014,January,,4,2.793,665,0.22166666666666668,0.7826086956521738,79.80000000000001,4578.126,22436.967
Eglinton East,2014,January,,4,3.192,773,1.254,1.0714285714285714,0.0,1979.8380000000002,11344.368
Bendale,2014,January,,4,1.995,734,1.2856666666666667,0.7741935483870968,138.85200000000003,1644.678,22862.301
Scarborough Village,2014,January,,6,3.99,744,0.89775,1.4285714285714284,137.655,6262.704000000001,1809.864
Woburn,2014,January,,7,2.394,650,1.064,4.0,0.0,3023.6220000000003,8872.962000000001
Guildwood,2014,January,,4,3.591,585,1.0473750000000002,5.6000000000000005,59.85000000000001,7903.392000000001,509.523
Morningside,2014,January,,3,3.192,679,1.5390000000000001,0.23076923076923078,0.0,4468.8,18197.592
West Hill,2014,January,,3,2.394,594,0.548625,2.333333333333333,84.58800000000001,1212.5610000000001,17549.616
Rouge,2014,January,,2,3.99,518,0.89775,0.5,22.743000000000002,4783.611,17779.440000000002
Centennial Scarborough,2014,January,,1,2.793,657,0.399,0.8571428571428571,63.84,4777.626,6231.183
Highland Creek,2014,January,,6,1.995,530,0.1995,1.2857142857142858,62.244,3678.78,20856.129
Malvern,2014,January,,4,2.793,695,0.399,0.18181818181818182,34.314,2863.224,3809.253
Hillcrest Village,2014,January,,7,3.192,670,0.114,3.1111111111111107,30.723000000000003,6117.069,24238.851000000002
Steeles,2014,January,,8,3.99,747,1.33,0.34782608695652173,17.556,7902.993,21159.768
L'Amoreaux,2014,January,,8,2.394,567,1.197,0.32,67.03200000000001,891.7650000000001,6528.039000000001
Agincourt South-Malvern West,2014,January,,6,3.192,632,0.548625,0.8571428571428571,113.715,4592.091,10055.997000000001
Milliken,2014,January,,4,1.995,526,1.425,1.2352941176470589,0.0,948.423,7226.289000000001
Agincourt North,2014,January,,1,3.99,679,0.266,1.25,37.506,2830.5060000000003,6609.834000000001
Trinity-Bellwoods,2014,February,,5,2.877,766,1.13025,1.6666666666666667,82.61099999999999,8259.867,11758.71
West Humber-Clairville,2014,February,,2,4.109999999999999,540,0.45666666666666667,0.25,43.565999999999995,6647.103,1154.499
Mount Olive-Silverstone-Jamestown,2014,February,,5,3.288,791,1.2843749999999998,6.923076923076923,41.922,8356.452,577.866
Humber Summit,2014,February,,4,2.4659999999999997,537,0.462375,1.2,90.00899999999999,687.603,4576.896
Thistletown-Beaumond Heights,2014,February,,7,3.288,677,0.7632857142857142,0.0,37.400999999999996,397.43699999999995,6231.581999999999
Humbermede,2014,February,,5,2.877,532,1.1416666666666666,0.25,0.0,2021.2979999999998,8742.792
Rexdale-Kipling,2014,February,,6,4.109999999999999,676,0.5936666666666667,0.7741935483870968,27.537,4989.54,21265.14
Elms-Old Rexdale,2014,February,,8,3.699,547,0.5137499999999999,1.125,241.668,6066.36,1173.405
Pelmo Park-Humberlea,2014,February,,3,3.288,738,0.30824999999999997,3.769230769230769,59.59499999999999,4892.544,24474.639
Downsview-Roding-CFB,2014,February,,8,3.699,557,1.0046666666666666,0.8571428571428571,106.86,8112.317999999999,16106.267999999998
Kingsview Village-The Westway,2014,February,,1,3.699,529,1.1416666666666666,0.0,47.675999999999995,4428.525,6518.870999999999
Weston,2014,February,,4,2.0549999999999997,794,0.92475,0.09090909090909091,0.0,1516.59,5184.764999999999
Rustic,2014,February,,3,4.109999999999999,575,0.822,0.8,128.232,348.11699999999996,10966.302
Humber Heights-Westmount,2014,February,,3,2.0549999999999997,561,0.822,3.6363636363636362,16.439999999999998,4717.047,18725.571
Brookhaven-Amesbury,2014,February,,3,1.644,769,0.13699999999999998,0.1794871794871795,67.404,503.47499999999997,23159.439
Mount Dennis,2014,February,,7,2.877,600,0.565125,1.6153846153846154,119.601,3566.658,17423.111999999997
Willowridge-Martingrove-Richview,2014,February,,2,3.699,570,1.4385,0.9642857142857144,189.882,8017.788,8420.157
Princess-Rosethorn,2014,February,,5,3.288,663,0.822,1.7142857142857142,31.235999999999997,3627.075,16232.445
Eringate-Centennial-West Deane,2014,February,,1,2.877,588,1.0503333333333331,1.1428571428571428,58.361999999999995,4115.343,3159.768
Edenbridge-Humber Valley,2014,February,,8,3.699,518,0.411,0.0,0.0,3236.214,22467.726
Rockcliffe-Smythe,2014,February,,5,2.877,629,0.7763333333333333,0.5625,108.50399999999999,7538.562,14255.535
Markland Woods,2014,February,,2,4.109999999999999,655,0.9133333333333333,1.2121212121212122,229.338,6406.257,10027.578
Etobicoke West Mall,2014,February,,3,2.4659999999999997,704,0.35228571428571426,2.454545454545454,0.0,1803.4679999999998,22966.269
Islington-City Centre West,2014,February,,5,2.0549999999999997,727,1.7614285714285713,1.5,221.93999999999997,1754.559,14165.937
Alderwood,2014,February,,5,2.877,736,0.2055,0.08333333333333333,0.0,7492.53,6472.017
Long Branch,2014,February,,6,4.109999999999999,752,0.6164999999999999,6.25,28.358999999999998,6282.545999999999,21745.188
New Toronto,2014,February,,7,2.0549999999999997,551,0.2055,2.8235294117647056,73.98,1193.133,19598.535
Mimico,2014,February,,2,2.0549999999999997,627,1.4678571428571427,0.5172413793103449,0.0,4077.531,20531.504999999997
Stonegate-Queensway,2014,February,,4,1.644,591,0.6393333333333333,2.1176470588235294,110.96999999999998,6201.99,1081.341
Kingsway South,2014,February,,3,1.644,564,0.411,0.2857142857142857,0.0,3128.5319999999997,19900.62
Lambton Baby Point,2014,February,,3,2.877,531,1.1155714285714287,4.285714285714286,37.812,5390.6759999999995,245.778
High Park-Swansea,2014,February,,6,2.877,579,1.2917142857142856,0.7741935483870968,0.0,4111.233,14484.462
Runnymede-Bloor West Village,2014,February,,5,1.644,755,0.8733749999999999,0.2,20.549999999999997,7180.580999999999,21341.997
High Park North,2014,February,,5,1.644,633,0.23485714285714282,0.3333333333333333,72.336,3803.394,5307.6539999999995
Junction Area,2014,February,,7,3.288,736,0.5137499999999999,2.6666666666666665,115.08,715.14,24885.639
Roncesvalles,2014,February,,4,3.288,591,0.92475,0.3076923076923077,47.675999999999995,3378.8309999999997,19913.771999999997
South Parkdale,2014,February,,5,2.4659999999999997,683,0.5479999999999999,0.1935483870967742,42.744,7034.264999999999,23820.326999999997
Dufferin Grove,2014,February,,3,2.4659999999999997,737,0.45666666666666667,1.0384615384615385,30.824999999999996,1198.4759999999999,1083.396
Little Portugal,2014,February,,5,2.4659999999999997,554,0.5137499999999999,0.3076923076923077,152.07,2411.337,14232.107999999998
Dovercourt-Wallace Emerson-Juncti,2014,February,,7,3.699,570,1.409142857142857,0.35294117647058826,14.796,4934.465999999999,18922.851
Niagara,2014,February,,1,2.877,595,1.1416666666666666,2.0,86.31,3384.5849999999996,9348.606
Weston-Pellam Park,2014,February,,4,2.877,800,1.2329999999999999,2.1,0.0,2396.9519999999998,17299.400999999998
Palmerston-Little Italy,2014,February,,3,4.109999999999999,584,1.2329999999999999,0.4838709677419355,51.785999999999994,4335.639,11441.829
University,2014,February,,6,3.699,504,1.7027142857142858,2.25,133.575,1371.5069999999998,97.818
Kensington-Chinatown,2014,February,,4,2.0549999999999997,513,0.25687499999999996,0.3333333333333333,80.145,537.177,8991.447
Waterfront Communities-The Island,2014,February,,1,3.288,608,1.1155714285714287,1.263157894736842,32.879999999999995,2905.77,23861.016
Annex,2014,February,,3,4.109999999999999,610,1.2917142857142856,0.0,69.048,565.947,12669.485999999999
Wychwood,2014,February,,7,3.699,760,0.462375,3.2,0.0,6871.098,17783.558999999997
Corsa Italia-Davenport,2014,February,,2,2.877,530,0.46971428571428564,0.0,229.338,7947.096,8632.644
Oakwood-Vaughan,2014,February,,2,3.699,685,0.998142857142857,0.0,37.812,248.244,24011.853
Humewood-Cedarvale,2014,February,,5,1.644,773,1.5852857142857142,0.0,82.19999999999999,8081.9039999999995,13310.645999999999
Casa Loma,2014,February,,4,3.699,640,0.35228571428571426,0.3333333333333333,0.0,7970.111999999999,20977.029
Forest Hill South,2014,February,,5,4.109999999999999,521,1.54125,1.7857142857142858,111.79199999999999,1106.8229999999999,24736.446
Yonge-St.Clair,2014,February,,1,2.0549999999999997,582,0.998142857142857,1.3636363636363635,141.384,6392.282999999999,18568.98
Bay Street Corridor,2014,February,,5,3.288,697,0.45666666666666667,1.75,50.553,5919.222,24442.992
Rosedale-Moore Park,2014,February,,3,2.877,546,0.411,0.0,231.804,3068.115,9333.81
Church-Yonge Corridor,2014,February,,5,2.0549999999999997,763,0.7045714285714285,0.3157894736842105,166.45499999999998,8431.664999999999,18806.949
Caledonia-Fairbanks,2014,February,,8,3.288,779,0.27399999999999997,3.15,184.95,197.28,12514.127999999999
North St.James Town,2014,February,,7,2.877,737,1.2843749999999998,0.08108108108108109,0.0,559.371,18805.716
Cabbagetown-South St.James Town,2014,February,,3,2.4659999999999997,691,1.2329999999999999,2.2222222222222223,0.0,6278.847,16516.035
Moss Park,2014,February,,7,2.0549999999999997,644,0.411,4.8,0.0,7555.824,18117.701999999997
Regent Park,2014,February,,9,3.288,757,0.10275,1.6666666666666667,103.572,674.862,9687.680999999999
Playter Estates-Danforth,2014,February,,7,2.4659999999999997,644,0.22833333333333333,3.5999999999999996,106.86,4800.48,4333.584
South Riverdale,2014,February,,4,2.0549999999999997,543,0.15412499999999998,2.0,158.23499999999999,2935.3619999999996,18894.903
North Riverdale,2014,February,,5,2.0549999999999997,565,0.565125,0.7894736842105263,0.0,7770.776999999999,20293.125
Blake-Jones,2014,February,,4,1.644,655,1.2329999999999999,0.6000000000000001,0.0,3316.359,1280.2649999999999
Danforth Village - Toronto,2014,February,,1,3.288,509,0.17614285714285713,0.30000000000000004,23.016,718.8389999999999,18747.354
Broadview North,2014,February,,7,1.644,576,0.5936666666666667,1.5,109.737,3126.066,17171.579999999998
Old East York,2014,February,,4,3.288,604,1.2917142857142856,2.8571428571428568,54.251999999999995,4187.679,5431.776
Danforth Village - East York,2014,February,,1,4.109999999999999,536,0.18266666666666664,4.263157894736842,26.304,7896.132,184.95
Greenwood-Coxwell,2014,February,,5,2.877,794,0.7045714285714285,0.5454545454545454,106.03799999999998,5264.088,13900.841999999999
Woodbine Corridor,2014,February,,6,3.699,632,1.056857142857143,0.0,41.099999999999994,5009.268,15126.444
Maple Leaf,2014,February,,2,4.109999999999999,581,1.644,0.34285714285714286,195.22499999999997,1687.5659999999998,6737.111999999999
Beechborough-Greenbrook,2014,February,,2,3.699,574,1.409142857142857,0.4444444444444444,39.455999999999996,338.664,15435.516
Keelesdale-Eglinton West,2014,February,,3,4.109999999999999,504,0.8733749999999999,0.6666666666666666,27.125999999999998,7808.178,14880.255
Briar Hill-Belgravia,2014,February,,3,2.4659999999999997,529,1.0959999999999999,5.142857142857142,152.892,4081.6409999999996,12945.678
Yorkdale-Glen Park,2014,February,,5,3.288,593,0.92475,0.0,53.43,2475.453,1852.377
Forest Hill North,2014,February,,3,2.0549999999999997,726,0.22833333333333333,0.9090909090909092,0.0,1885.2569999999998,20954.013
Englemount-Lawrence,2014,February,,6,3.288,648,1.2917142857142856,1.5555555555555554,41.099999999999994,3055.785,24336.542999999998
Bedford Park-Nortown,2014,February,,3,2.877,717,0.13699999999999998,0.04,45.21,8175.200999999999,17803.287
Lawrence Park South,2014,February,,4,2.4659999999999997,799,1.0274999999999999,1.3636363636363635,108.50399999999999,3038.1119999999996,3424.0409999999997
Yonge-Eglinton,2014,February,,3,1.644,584,0.7045714285714285,3.9375,209.60999999999996,679.794,15348.794999999998
Mount Pleasant West,2014,February,,5,4.109999999999999,587,1.387125,0.6666666666666666,0.0,2042.2589999999998,2695.3379999999997
Lawrence Park North,2014,February,,1,1.644,549,1.2329999999999999,0.6451612903225806,0.0,367.02299999999997,9524.103
Mount Pleasant East,2014,February,,3,4.109999999999999,689,1.3504285714285713,0.06666666666666667,147.95999999999998,6218.018999999999,12641.537999999999
Black Creek,2014,February,,5,4.109999999999999,696,0.411,1.0,0.0,7409.508,8623.190999999999
Glenfield-Jane Heights,2014,February,,4,3.288,709,1.1742857142857142,2.3529411764705883,88.776,8434.953,18858.735
York University Heights,2014,February,,1,3.699,590,0.6164999999999999,1.5483870967741935,76.035,4938.987,15067.670999999998
Bathurst Manor,2014,February,,9,3.288,747,1.1155714285714287,0.6363636363636364,246.59999999999997,5317.518,16671.393
Westminster-Branson,2014,February,,2,2.877,783,1.1155714285714287,0.08333333333333333,0.0,787.476,10035.797999999999
Clanton Park,2014,February,,4,2.4659999999999997,523,1.4678571428571427,2.909090909090909,0.0,405.246,13525.188
Lansing-Westgate,2014,February,,9,2.4659999999999997,590,0.71925,0.72,13.562999999999999,1457.817,3911.0759999999996
Willowdale West,2014,February,,3,2.877,692,0.3653333333333333,0.5,113.43599999999999,6437.4929999999995,2987.1479999999997
Newtonbrook West,2014,February,,4,2.877,560,1.1742857142857142,0.7619047619047619,62.471999999999994,2512.4429999999998,9670.419
Newtonbrook East,2014,February,,6,3.699,620,0.27399999999999997,0.0,93.708,8250.824999999999,4869.938999999999
Willowdale East,2014,February,,7,1.644,529,0.31966666666666665,0.2272727272727273,199.33499999999998,1727.8439999999998,4163.018999999999
Bayview Woods-Steeles,2014,February,,2,2.877,666,0.822,2.5,29.592,1260.537,1985.541
Bayview Village,2014,February,,2,2.4659999999999997,501,0.5137499999999999,2.6470588235294117,0.0,6033.48,22541.295
St.Andrew-Windfields,2014,February,,7,1.644,683,1.0046666666666666,0.7142857142857142,108.91499999999999,8356.452,12988.010999999999
Don Valley Village,2014,February,,7,3.699,781,1.1155714285714287,1.4814814814814814,184.95,946.122,4341.393
Henry Farm,2014,February,,9,1.644,781,0.6164999999999999,1.0,194.81400000000002,3168.399,19689.365999999998
Pleasant View,2014,February,,2,2.0549999999999997,531,1.644,1.44,100.28399999999999,944.478,825.2879999999999
Parkwoods-Donalda,2014,February,,5,4.109999999999999,732,0.5023333333333333,1.7307692307692308,66.582,5335.602,23496.048
Tam O'Shanter-Sullivan,2014,February,,4,1.644,575,0.822,5.384615384615384,104.80499999999999,1634.136,19095.470999999998
Bridle Path-Sunnybrook-York Mills,2014,February,,9,2.0549999999999997,532,1.2786666666666666,0.967741935483871,12.33,5175.312,4449.075
Leaside-Bennington,2014,February,,4,2.4659999999999997,652,0.8733749999999999,0.38461538461538464,147.95999999999998,3585.153,12632.907
Banbury-Don Mills,2014,February,,4,3.288,510,0.2055,0.8974358974358975,55.48499999999999,2374.758,304.962
Thorncliffe Park,2014,February,,5,3.288,726,0.22833333333333333,2.8421052631578947,23.837999999999997,5123.115,7107.834
